"area_160616","area_160617","area_160618","area_160619","area_160620","area_160621","area_160622","area_160623","area_160624","area_160625","area_160626","area_160627","area_160628","area_160629","area_160630","area_160701","area_160702","area_160703","area_160704","area_160705","well_ID","factor"
3.527,3.475,3.643,4.787,7.593,11.324,16.867,26.558,46.004,64.991,76.027,78.171,76.211,77.11,74.476,74.698,72.665,73.998,72.076,72.584,61,"10"
3.681,3.474,3.608,4.583,7.3,11.38,17.565,26.766,44.299,63.105,76.195,81.016,80.839,78.045,77.16,74.859,73.688,78.966,76.371,76.211,62,"10"
5.468,3.86,4.238,4.405,6.17,8.329,11.664,17.774,29.036,44.545,60.011,75.67,76.88,72.685,71.221,70.519,71.281,74.142,72.112,72.597,63,"10"
4.075,3.584,3.612,4.659,7.073,10.926,16.846,28.768,50.284,71.09,82.216,81.825,80.028,79.186,78.42,75.843,74.585,78.7,75.675,76.383,64,"10"
3.439,3.461,3.618,4.915,7.729,12.333,19.046,28.659,45.377,64.613,77.581,79.923,79.651,80.421,77.019,75.06,76.41,77.433,75.122,75.504,65,"10"
5.425,5.261,4.863,5.845,8.088,11.924,17.666,27.263,40.794,56.573,69.448,79.636,74.305,72.631,72.046,70.718,69.223,72.35,68.934,72.456,66,"10"
3.434,3.478,3.509,4.615,7.442,11.94,18.407,27.738,42.364,58.603,72.134,81.24,77.848,75.022,77.054,73.055,71.127,74.768,75.596,73.93,67,"10"
3.623,3.803,4.166,5.593,8.46,13.958,21.553,31.478,48.655,65.573,74.894,79.23,72.828,73.32,74.144,71.375,69.681,72.226,72.693,74.097,68,"10"
3.279,3.493,4.015,5.468,8.877,14.566,22.074,32.942,51.274,68.929,77.752,77.306,76.098,77.632,74.689,74.995,69.048,74.502,72.851,74.122,69,"10"
3.197,3.313,3.641,4.809,7.446,11.869,18.359,27.998,43.13,61.502,75.968,81.972,80.684,80.094,80.811,77.641,73.1,76.475,74.36,76.076,70,"10"
3.568,3.311,3.768,5.348,8.687,14.017,21.617,35.905,59.841,81.288,81.699,79.969,78.814,80.009,78.579,77.437,76.394,79.396,77.097,78.338,71,"10"
3.046,3.108,3.131,4.034,6.09,9.22,14.099,23.112,40.891,59.992,74.251,82.864,82.337,79.198,78.483,74.627,74.232,75.69,78.325,76.395,72,"10"
2.942,3.043,3.158,3.872,5.477,8.273,12.358,18.906,30.758,46.659,62.273,81.724,85.287,82.486,78.734,78.162,75.545,76.949,79.209,78.57,73,"10"
4.772,4.952,4.959,5.967,8.658,12.41,17.682,27.459,44.361,62.632,74.935,80.495,75.375,77.63,75.044,71.871,71.087,76.731,73.904,71.845,74,"10"
3.627,3.712,3.81,4.745,7.026,10.633,15.864,25.145,44.363,64.207,77.173,83.18,78.995,78.364,73.962,75.095,72.682,75.176,73.684,73.872,75,"10"
3.199,3.179,3.405,4.682,7.676,12.182,18.257,30.154,52.064,71.803,80.645,79.905,78.584,78.322,78.673,74.395,74.056,74.832,75.151,74.723,76,"10"
3.952,4.085,3.809,4.913,7.469,10.673,14.977,23.648,40.488,59.947,75.526,85.497,81.095,79.618,77.704,74.594,76.292,75.381,75.046,76.662,77,"10"
4.319,3.968,4.796,5.234,8.175,14.026,20.732,31.732,51.7,72.107,79.776,80.658,79.179,77.528,77.297,75.297,72.295,75.527,73.059,75.924,78,"10"
3.471,3.558,3.784,5.234,8.556,13.266,20.106,33.65,55.8,74.115,79.264,79.305,76.892,77.173,77.622,74.232,72.325,75.441,76.014,75.079,79,"10"
5.139,4.819,4.329,5.202,7.335,10.188,14.511,22.398,38.895,59.356,72.489,79.094,78.478,77.447,76.313,72.267,73.1,75.196,73.176,74.298,80,"10"
4.17,4.966,4.205,5.809,8.094,11.845,18.322,31.849,55.69,74.271,81.051,81.342,81.817,81.4,80.473,76.946,74.983,80.312,76.972,76.225,81,"10"
3.308,3.23,2.986,3.367,4.691,6.395,8.931,13.372,22.264,35.172,51.23,76.65,82.883,82.385,81.14,79.681,77.034,79.098,78.323,78.212,82,"04"
3.027,2.929,2.645,2.864,3.733,4.419,5.471,6.974,10.376,14.472,19.438,32.624,53.116,80.013,85.582,83.764,84.643,83.553,80.633,82.913,83,"04"
3.205,3.159,3.05,3.502,4.462,5.832,7.967,11.75,18.38,28.319,40.583,66.406,83.386,82.801,80.786,79.234,76.528,78.982,77.973,78.462,84,"04"
3.556,3.569,3.546,3.809,5.218,6.955,10.038,14.684,24.032,36.669,49.994,69.441,80.428,76.061,75.35,71.084,71,77.464,72.946,75.137,85,"04"
3.567,3.631,3.302,3.753,5.163,6.681,9.073,12.746,20.106,32.018,47.02,75.139,83.939,82.027,81.765,79.652,76.786,77.376,78.823,78.572,86,"04"
3.144,3.086,2.805,3.082,3.731,4.088,4.959,6.679,10.016,14.69,19.586,32.546,51.306,76.634,82.53,78.211,76.693,78.18,77.413,77.512,87,"04"
2.948,2.902,2.663,2.852,3.529,4.213,5.516,8.542,15.212,23.196,31.562,47.49,69.879,80.118,80.507,77.255,73.898,76.571,73.521,73.232,88,"04"
3.554,3.506,3.42,3.814,4.716,6.137,8.05,11.742,17.167,25.088,34.131,55.203,78.185,79.369,77.626,74.509,71.852,74.858,72.99,73.9,89,"04"
3.167,3.099,2.977,3.39,4.383,6.153,9.239,14.865,25.138,39.125,54.631,75.957,75.81,74.031,75.039,71.539,68.858,72.786,72.226,73.528,90,"04"
3.241,3.076,2.941,3.158,3.946,4.881,6.018,8.975,14.116,21.084,28.12,42.27,60.138,78.345,82.982,77.039,73.267,76.57,74.106,77.023,91,"04"
3.341,2.991,2.843,3.325,4.55,6.331,9.49,15.296,25.077,37.995,52.668,74.134,80.153,78.008,78.101,72.974,69.965,76.158,71.956,75.347,92,"04"
3.07,3.053,3.201,4.08,6.443,10.249,16.444,27.482,48.044,69.907,81.277,82.408,78.587,78.792,76.662,77.423,73.657,76.962,75.19,76.399,93,"04"
3.548,3.76,3.84,4.708,6.741,10.264,16.12,25.233,39.888,57.308,72.829,79.768,75.876,75.672,76.091,73.713,71.915,76.279,72.996,73.287,94,"04"
3.406,3.251,3.217,3.936,5.59,8.619,13.722,22.53,35.959,51.792,67.049,80.045,74.038,74.01,73.866,72.693,71.45,73.314,72.087,72.803,95,"04"
5.184,4.887,4.76,5.109,6.665,8.639,12.297,19.489,30.198,43.388,57.576,78.674,78.38,74.925,74.626,73.02,71.31,72.446,72.279,72.006,96,"04"
5.523,3.619,3.757,4.275,6.021,8.868,13.424,20.938,33.116,48.454,63.149,78.984,77.13,71.917,73.05,72.179,71.391,73.686,71.907,71.942,97,"04"
5.132,5.13,4.586,5.029,6.118,7.371,9.436,13.573,20.677,30.162,39.224,52.871,67.476,74.64,73.249,70.974,67.958,73.028,71.017,73.143,98,"04"
4.136,3.728,3.628,3.884,5.296,6.734,9.515,15.229,23.808,34.015,44.518,65.193,78.501,78.798,76.021,70.376,70.942,74.161,72.627,74.659,99,"04"
4.465,4.278,4.27,5.126,7.296,10.446,16.208,25.079,38.79,55.569,69.198,79.512,75.151,74.428,73.125,71.297,70.427,74.028,70.731,73.87,100,"04"
3.886,3.683,3.337,3.386,4.547,5.483,6.999,10.981,17.71,27.737,40.255,61.974,70.953,69.083,64.307,66.018,63.399,70.395,66.974,67.477,101,"04"
3.508,3.323,2.721,2.867,4.044,4.915,6.226,9.351,16.067,27.02,41.294,61.112,69.671,67.228,68.104,65.755,63.176,62.424,61.038,60.533,102,"04"
3.73,3.574,3.119,3.758,5.191,6.144,8.558,12.067,18.514,27.562,37.358,53.869,70.097,77.168,76.519,74.347,73.515,72.002,70.153,69.663,103,"04"
4.758,4.694,4.226,4.372,5.213,5.737,6.56,8.328,11.901,16.59,21.279,30.1,44.944,59.677,64.523,62.514,56.093,55.731,56.674,56.106,104,"04"
4.124,4.145,3.495,4.251,6.149,8.494,13.545,20.897,35.148,51.61,67.843,81.533,81.761,78.858,78.433,76.621,73.171,73.44,72.022,72.971,105,"04"
